2,접두,코드,code,2026-05-25,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:379800,379800,KODEX 미국S&P500,2488,"17,540","25,615",46%,"43,639,520","63,730,120","20,090,600",WON,1,"63,730,120",71%,71%
2,krx:,krx:0082V0,0082V0,KODEX TDF2060액티브,2166,"10,125","12,220",21%,"21,930,750","26,468,520","4,537,770",WON,1,"26,468,520",29%,100%
