4,접두,코드,code,2026-05-25,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:390390,390390,KODEX 미국반도체,670,"52,377","59,070",13%,"35,092,590","39,576,900","4,484,310",WON,1,"39,576,900",35%,35%
2,krx:,krx:433880,433880,PLUS TDF2060액티브 적격,1686,"14,207","19,975",41%,"23,953,002","33,677,850","9,724,848",WON,1,"33,677,850",30%,65%
3,krx:,krx:381170,381170,TIGER 미국테크TOP10 INDXX,591,34532,34980,0.01,20408412,20673180,264768,WON,1,20673180,0.18,0.84
4,krx:,krx:379800,379800,KODEX 미국S&P500,711,25045,25615,0.02,17806995,18212265,405270,WON,1,18212265,0.16,1
